"","ID","Name","CountryCode","District","Population","lon","lat"
"425",661,"Murcia","ESP","Murcia",353504,-1.1306544,37.9922399
"426",662,"Palma de Mallorca","ESP","Balears",326993,2.6501603,39.5696005
"427",665,"Vigo","ESP","Galicia",283670,-8.7207268,42.2405989
"428",666,"Alicante [Alacant]","ESP","Valencia",272432,-0.4906855,38.3459963
"430",671,"Vitoria-Gasteiz","ESP","Baskimaa",217154,-2.6818614,42.8591338
"431",672,"Santa Cruz de Tenerife","ESP","Canary Islands",213050,-16.2518467,28.4636296
"433",674,"Oviedo","ESP","Asturia",200453,-81.2081203,28.669997
"434",676,"Elche [Elx]","ESP","Valencia",193174,-0.7125608,38.2699329
"436",678,"Santander","ESP","Cantabria",184165,-96.8681303,32.8077525
"437",679,"Jerez de la Frontera","ESP","Andalusia",182660,-6.1260744,36.6850064
"438",682,"Cartagena","ESP","Murcia",177709,-75.4794257,10.3910485
"439",684,"Fuenlabrada","ESP","Madrid",171173,-3.8035477,40.2902056
"442",691,"Getafe","ESP","Madrid",145371,-3.7323934,40.3082504
"443",694,"Huelva","ESP","Andalusia",140583,-6.9447224,37.261421
"444",697,"Badajoz","ESP","Extremadura",136613,-6.9706535,38.8794495
"447",704,"Ourense (Orense)","ESP","Galicia",109120,-7.863881,42.3357893
"448",706,"Algeciras","ESP","Andalusia",103106,-5.456233,36.1407591
"449",707,"Marbella","ESP","Andalusia",101144,-4.8824474,36.510071
"450",708,"Barakaldo","ESP","Baskimaa",98212,-2.9862029,43.2969875
"451",709,"Dos Hermanas","ESP","Andalusia",94591,-5.9242391,37.2865803
"452",710,"Santiago de Compostela","ESP","Galicia",93745,-8.5448445,42.8782132
"453",712,"Cape Town","ZAF","Western Cape",2352121,18.4240553,-33.9248685
"454",713,"Soweto","ZAF","Gauteng",904165,27.8540323,-26.2485377
"455",714,"Johannesburg","ZAF","Gauteng",756653,28.0473051,-26.2041028
"456",715,"Port Elizabeth","ZAF","Eastern Cape",752319,25.5207358,-33.7139247
"457",716,"Pretoria","ZAF","Gauteng",658630,28.2292712,-25.7478676
"458",717,"Inanda","ZAF","KwaZulu-Natal",634065,30.9540293,-29.6982671
"459",718,"Durban","ZAF","KwaZulu-Natal",566120,31.0218404,-29.8586804
"460",719,"Vanderbijlpark","ZAF","Gauteng",468931,27.8076959,-26.7034204
"461",720,"Kempton Park","ZAF","Gauteng",442633,-0.4026746,51.4185161
"462",721,"Alberton","ZAF","Gauteng",410102,28.1224193,-26.2651613
"463",722,"Pinetown","ZAF","KwaZulu-Natal",378810,30.8384093,-29.8345022
"464",723,"Pietermaritzburg","ZAF","KwaZulu-Natal",370190,30.3794118,-29.6006068
"465",724,"Benoni","ZAF","Gauteng",365467,28.3695699,-26.1510854
"466",725,"Randburg","ZAF","Gauteng",341288,27.9951862,-26.1438399
"467",726,"Umlazi","ZAF","KwaZulu-Natal",339233,30.8843434,-29.9687501
"468",727,"Bloemfontein","ZAF","Free State",334341,26.1595761,-29.085214
"471",730,"Roodepoort","ZAF","Gauteng",279340,27.9014654,-26.1201355
"472",731,"Boksburg","ZAF","Gauteng",262648,28.2409671,-26.2325897
"473",732,"Klerksdorp","ZAF","North West",261911,26.6317514,-26.8598225
"474",733,"Soshanguve","ZAF","Gauteng",242727,28.1068267,-25.483403
"475",734,"Newcastle","ZAF","KwaZulu-Natal",222993,-1.61778,54.978252
"476",735,"East London","ZAF","Eastern Cape",221047,-0.1277583,51.5073509
"477",736,"Welkom","ZAF","Free State",203296,26.7732162,-28.0045655
"479",738,"Uitenhage","ZAF","Eastern Cape",192120,25.4141193,-33.768717
"480",739,"Chatsworth","ZAF","KwaZulu-Natal",189885,-118.61481,34.2506356
"483",742,"Botshabelo","ZAF","Free State",177971,26.7260713,-29.2672728
"484",743,"Brakpan","ZAF","Gauteng",171363,28.3228165,-26.2908111
"485",744,"Witbank","ZAF","Mpumalanga",167183,29.2553229,-25.8727817
"489",748,"Westonaria","ZAF","Gauteng",159632,27.6505374,-26.3178076
"492",751,"Potchefstroom","ZAF","North West",101817,27.0970475,-26.7145297
"493",752,"Rustenburg","ZAF","North West",97008,27.255854,-25.6544483
"494",753,"Nigel","ZAF","Gauteng",96734,28.4786117,-26.4227523
"497",756,"Addis Abeba","ETH","Addis Abeba",2495000,38.7577605,8.9806034
"498",757,"Dire Dawa","ETH","Dire Dawa",164851,41.850142,9.6008747
"500",759,"Gonder","ETH","Amhara",112249,37.4521319,12.6030181
"501",760,"Dese","ETH","Amhara",97314,-86.6568517,34.7298945
"502",761,"Mekele","ETH","Tigray",96938,39.465738,13.4935504
"504",763,"Stanley","FLK","East Falkland",1636,-95.6132893,36.317765
"505",764,"Suva","FJI","Central",77366,178.4500789,-18.1248086
"506",765,"Quezon","PHL","National Capital Reg",2173831,121.947311,13.9346903
"507",766,"Manila","PHL","National Capital Reg",1581082,120.9842195,14.5995124
"508",767,"Kalookan","PHL","National Capital Reg",1177604,121.0449768,14.7565784
"509",768,"Davao","PHL","Southern Mindanao",1147116,125.455341,7.190708
"510",769,"Cebu","PHL","Central Visayas",718821,123.8854366,10.3156992
"511",770,"Zamboanga","PHL","Western Mindanao",601794,122.0790267,6.9214424
"512",771,"Pasig","PHL","National Capital Reg",505058,121.0851097,14.5763768
"513",772,"Valenzuela","PHL","National Capital Reg",485433,120.9830225,14.7010556
"514",774,"Antipolo","PHL","Southern Tagalog",470866,121.1244847,14.6254827
"516",776,"Cagayan de Oro","PHL","Northern Mindanao",461877,124.6318977,8.4542363
"517",778,"Makati","PHL","National Capital Reg",444867,121.0244452,14.554729
"518",779,"Bacolod","PHL","Western Visayas",429076,122.9689565,10.6407389
"519",780,"General Santos","PHL","Southern Mindanao",411822,125.171618,6.1163861
"520",781,"Marikina","PHL","National Capital Reg",391170,121.1028546,14.65073
"521",783,"Muntinlupa","PHL","National Capital Reg",379310,121.0414667,14.4081327
"523",785,"Pasay","PHL","National Capital Reg",354908,121.0013794,14.5377516
"525",788,"Bacoor","PHL","Southern Tagalog",305699,120.9736786,14.4129931
"526",789,"Iligan","PHL","Central Mindanao",285061,124.2452422,8.2280209
"527",790,"Calamba","PHL","Southern Tagalog",281146,121.1250825,14.1876712
"529",792,"Butuan","PHL","Caraga",267279,125.5406234,8.9475377
"530",793,"Angeles","PHL","Central Luzon",263971,-118.2436849,34.0522342
"531",794,"Tarlac","PHL","Central Luzon",262481,120.469642,15.4470354
"532",795,"Mandaue","PHL","Central Visayas",259728,123.9415518,10.3402623
